id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,offer_disclaimer,offer_disclaimer_url,video[0].url,video[0].tag[0],gtin,product_tags[0],product_tags[1],style[0],additional_image_link[0],additional_image_link[1],additional_image_link[2],additional_image_link[3],additional_image_link[4],additional_image_link[5],additional_image_link[6],additional_image_link[7],additional_image_link[8],additional_image_link[9]
SOLUM-GROUND-01,SOLUM GROUND Kit — 01 Body Wash (250ml),"Part of the SOLUM GROUND Kit (£65). Sold as a kit only — this item cannot be purchased individually.

Gentle everywhere. Strips nothing. Cleans everything.

One wash for your whole body — including the areas most washes are too harsh for. Sensitive skin, intimate areas, face — the amino acid formula at pH 4.5 is gentle enough for all of it without stripping. Standard body wash uses SLS, a detergent that forces skin pH to 9-10 and tears through the acid mantle protecting every surface it touches. Recovery takes up to 17 hours. You shower again before it happens. This doesn't do that. It cleans every part of your body properly, leaves the barrier intact everywhere, and keeps odour-causing bacteria from taking hold. 250ml lasts around 4 weeks with daily use.

- Gentle enough for every area — face, body, sensitive skin, intimate areas — without irritation
- pH 4.5 matches your skin's natural acid mantle — the barrier stays intact everywhere
- SLS strips that barrier and takes 17 hrs to recover. Amino acid surfactants don't.
- Clinically 75x milder than SLS — cleans properly without damaging skin
- No tightness, no irritation, no odour — just clean skin, everywhere
- 250ml · lasts ~4 weeks with daily use · Sulphate-free · Cedarwood + vetiver",in stock,new,65.00 GBP,https://bysolum.co.uk,https://bysolum.co.uk/products/01/still.webp,SOLUM,Health & Beauty > Personal Care > Cosmetics > Skin Care,Health & Beauty > Personal Care,70,,,SOLUM-KIT-GROUND,male,,,adult,,,GB::Free Delivery:0.00 GBP,1.5 kg,,,,,,body wash,sulphate-free,,https://bysolum.co.uk/products/kit/still.webp,https://bysolum.co.uk/products/kit/use-1.webp,https://bysolum.co.uk/products/kit/use-2.webp,https://bysolum.co.uk/products/01/poster.jpg,https://bysolum.co.uk/products/01/use-1.webp,https://bysolum.co.uk/products/01/use-2.webp,https://bysolum.co.uk/products/01/detail.webp,,,
SOLUM-GROUND-02,SOLUM GROUND Kit — 02 Italy Towel Mitt,"Part of the SOLUM GROUND Kit (£65). Sold as a kit only — this item cannot be purchased individually.

Smoother skin. Less odour. First use.

Smoother skin and less body odour — from the first use. Dead skin cells build up on the surface and never shed on their own. That's the dullness, the rough patches, the bumps — and it's also where odour-causing bacteria live and multiply. A regular shower wets the surface. This mitt physically removes it. Korean bathhouses have used 100% viscose mitts for generations to lift this layer on warm, wet skin. You'll see it roll off the first time. When the bacteria have nothing to feed on, the smell goes with it. Lasts up to 8 weeks — replace it every 8 weeks at most.

- Dead skin cells are where odour-causing bacteria live — this removes them completely
- Visibly smoother, softer skin from the first use
- You'll see buildup roll off the mitt — weeks of accumulation, gone
- Once dead skin is cleared, lotion and products absorb properly
- 25x20cm — full coverage without slipping, sized for a male hand
- Lasts up to 8 weeks with weekly use · 100% viscose · Korean bathhouse tradition",in stock,new,65.00 GBP,https://bysolum.co.uk,https://bysolum.co.uk/products/02/still.webp,SOLUM,Health & Beauty > Personal Care > Cosmetics > Skin Care,Health & Beauty > Personal Care,70,,,SOLUM-KIT-GROUND,male,,,adult,,,GB::Free Delivery:0.00 GBP,1.5 kg,,,,,,exfoliating mitt,body exfoliation,,https://bysolum.co.uk/products/kit/still.webp,https://bysolum.co.uk/products/kit/use-1.webp,https://bysolum.co.uk/products/kit/use-2.webp,https://bysolum.co.uk/products/02/poster.jpg,https://bysolum.co.uk/products/02/use-1.webp,https://bysolum.co.uk/products/02/use-2.webp,https://bysolum.co.uk/products/02/detail.webp,,,
SOLUM-GROUND-03,SOLUM GROUND Kit — 03 Back Scrub Cloth,"Part of the SOLUM GROUND Kit (£65). Sold as a kit only — this item cannot be purchased individually.

Confident clean. Head to toe. Back included.

Properly clean from head to toe — including the back most men have never actually cleaned properly. The back has more and larger oil glands than anywhere else on the body. Bacteria build up there every single day and nothing standard reaches it. That's an ongoing odour source most men don't think to fix. The 90cm length with handles at each end changes that — drape it over your shoulder, saw back and forth, every inch done in 60 seconds. Silver ions in the fabric kill bacteria between uses. Dual-sided so you choose the intensity. Rinse after each use, wash weekly. Lasts 2-3 months.

- The back has more oil glands than anywhere — constant bacterial buildup, constant odour source
- Silver ions woven into the fabric — actively kills odour-causing bacteria between uses
- Dual-sided: one side for gentle daily cleansing, one side for firmer scrubbing
- The only tool that reaches the back properly — 90cm, handles at both ends
- Milder than the mitt — safe for daily full body use, including intimate areas
- Lasts 2-3 months · rinse after use · wash weekly",in stock,new,65.00 GBP,https://bysolum.co.uk,https://bysolum.co.uk/products/03/still.webp,SOLUM,Health & Beauty > Personal Care > Cosmetics > Skin Care,Health & Beauty > Personal Care,70,,,SOLUM-KIT-GROUND,male,,,adult,,,GB::Free Delivery:0.00 GBP,1.5 kg,,,,,,back scrubber,body scrub,,https://bysolum.co.uk/products/kit/still.webp,https://bysolum.co.uk/products/kit/use-1.webp,https://bysolum.co.uk/products/kit/use-2.webp,https://bysolum.co.uk/products/03/use-1.webp,https://bysolum.co.uk/products/03/use-2.webp,https://bysolum.co.uk/products/03/detail.webp,,,,
SOLUM-GROUND-04,SOLUM GROUND Kit — 04 Scalp Massager,"Part of the SOLUM GROUND Kit (£65). Sold as a kit only — this item cannot be purchased individually.

Thicker hair. No scalp odour. Daily.

Thicker hair, a genuinely clean scalp, and no scalp odour — three things shampoo alone cannot deliver. Dead skin and sebum build up on the scalp every day. Shampoo moves it around but doesn't shift it. That buildup is the source of scalp smell most men just accept. The silicone pins dislodge it properly. A single session also raises scalp blood flow 120% above baseline, and a 24-week study showed daily use produces a measurable increase in hair shaft thickness. Two minutes in the shower. Everything changes. Lasts 6+ months.

- Scalp buildup is a major cause of scalp odour — silicone pins dislodge what shampoo moves around
- Measurable increase in hair shaft thickness after 24 weeks of daily use
- Scalp blood flow increases 120% above baseline — oxygen and nutrients to follicles
- Distributes shampoo evenly through thick hair — actually activates it
- Lasts 6+ months with daily use · Made in South Korea · Premium silicone",in stock,new,65.00 GBP,https://bysolum.co.uk,https://bysolum.co.uk/products/04/still.webp,SOLUM,Health & Beauty > Personal Care > Cosmetics > Skin Care,Health & Beauty > Personal Care,70,,,SOLUM-KIT-GROUND,male,,,adult,,,GB::Free Delivery:0.00 GBP,1.5 kg,,,,,,scalp massager,hair care,,https://bysolum.co.uk/products/kit/still.webp,https://bysolum.co.uk/products/kit/use-1.webp,https://bysolum.co.uk/products/kit/use-2.webp,https://bysolum.co.uk/products/04/use-1.webp,https://bysolum.co.uk/products/04/use-2.webp,https://bysolum.co.uk/products/04/detail.webp,,,,
SOLUM-GROUND-05,SOLUM GROUND Kit — 05 Atlas Clay Mask (300g),"Part of the SOLUM GROUND Kit (£65). Sold as a kit only — this item cannot be purchased individually.

Clearer skin. Emptied pores. Real confidence.

Clearer, firmer skin — and the kind of confidence that comes from knowing your skin is genuinely clean underneath. Washing cleans the surface. Rhassoul clay goes deeper. It carries a negative ionic charge; toxins and sebum in your pores carry a positive charge. The clay draws them out and binds them, then rinses away. One application links to a 68% improvement in skin clarity and 24% improvement in firmness. 300g gives you 4 weekly sessions at around 75g each — approximately one month's supply.

- Empties pores of the sebum and bacteria that cause spots, dullness and skin odour
- 68% improvement in skin clarity from a single application (research-backed)
- 24% improvement in skin firmness — minerals feed the skin while it cleans
- Negative ionic charge draws toxins out of pores — washing can only clean the surface
- 300g · 4 weekly sessions at ~75g each · lasts ~4 weeks",in stock,new,65.00 GBP,https://bysolum.co.uk,https://bysolum.co.uk/products/05/still.webp,SOLUM,Health & Beauty > Personal Care > Cosmetics > Skin Care,Health & Beauty > Personal Care,70,,,SOLUM-KIT-GROUND,male,,,adult,,,GB::Free Delivery:0.00 GBP,1.5 kg,,,,,,clay mask,body mask,,https://bysolum.co.uk/products/kit/still.webp,https://bysolum.co.uk/products/kit/use-1.webp,https://bysolum.co.uk/products/kit/use-2.webp,https://bysolum.co.uk/products/05/poster.jpg,https://bysolum.co.uk/products/05/use-1.webp,https://bysolum.co.uk/products/05/use-2.webp,https://bysolum.co.uk/products/05/detail.webp,,,
SOLUM-GROUND-07,SOLUM GROUND Kit — 07 Body Lotion (200ml),"Part of the SOLUM GROUND Kit (£65). Sold as a kit only — this item cannot be purchased individually.

Restores. Repairs. Hydrates. In 3 minutes.

Restores, repairs and hydrates — in the 3 minutes most men waste every day. Every shower takes something from your skin. The lotion gives it back. Applied immediately after drying, skin absorbs up to 10x more than at any other point — that window closes fast as moisture starts evaporating. Most men miss it. With regular daily use the difference compounds: the barrier gets stronger, rough patches repair, skin stays comfortable through the day instead of getting tighter by lunchtime. Two pumps is enough — it spreads well. 200ml lasts 4-5 weeks.

- Restores the skin barrier stripped by daily washing — rebuilds what the shower takes out
- Repairs dry, rough or irritated skin with continued daily use
- Hydrates at up to 10x the rate of applying later — the 3-minute post-shower window
- The American Academy of Dermatology recommends immediate post-shower application
- Spreads well — two pumps is enough · 200ml lasts 4-5 weeks · no residue",in stock,new,65.00 GBP,https://bysolum.co.uk,https://bysolum.co.uk/products/07/still.webp,SOLUM,Health & Beauty > Personal Care > Cosmetics > Skin Care,Health & Beauty > Personal Care,70,,,SOLUM-KIT-GROUND,male,,,adult,,,GB::Free Delivery:0.00 GBP,1.5 kg,,,,,,body lotion,moisturiser,,https://bysolum.co.uk/products/kit/still.webp,https://bysolum.co.uk/products/kit/use-1.webp,https://bysolum.co.uk/products/kit/use-2.webp,https://bysolum.co.uk/products/07/poster.jpg,https://bysolum.co.uk/products/07/use-1.webp,https://bysolum.co.uk/products/07/use-2.webp,,,,
SOLUM-GROUND-08,SOLUM GROUND Kit — 08 Cleansing Cloth,"Part of the SOLUM GROUND Kit (£65). Sold as a kit only — this item cannot be purchased individually.

No odour. Real confidence. Every day.

The confidence of knowing you smell clean — all day, not just in the shower. Most men use their hands for intimate cleansing. Hands spread bacteria more than they remove it and have no consistent cleansing action. That's why intimate odour is so common and so persistent. This cloth is built for this specific job: ultra-soft bamboo and cotton that's gentle on intimate areas, and bamboo kun — a natural antimicrobial compound that inhibits bacterial regrowth in the cloth between uses. Wash weekly, replace monthly.

- Eliminates intimate odour at the source — bacteria, not just surface dirt
- Bamboo kun naturally inhibits bacterial regrowth in the cloth between uses
- Ultra-soft fibres — safe for daily use on intimate areas, never exfoliates
- Hands spread bacteria as much as they remove it — a dedicated cloth doesn't
- 25x25cm · wash weekly · replace monthly · Bamboo + cotton · Biodegradable",in stock,new,65.00 GBP,https://bysolum.co.uk,https://bysolum.co.uk/products/08/still.webp,SOLUM,Health & Beauty > Personal Care > Cosmetics > Skin Care,Health & Beauty > Personal Care,70,,,SOLUM-KIT-GROUND,male,,,adult,,,GB::Free Delivery:0.00 GBP,1.5 kg,,,,,,cleansing cloth,intimate care,,https://bysolum.co.uk/products/kit/still.webp,https://bysolum.co.uk/products/kit/use-1.webp,https://bysolum.co.uk/products/kit/use-2.webp,https://bysolum.co.uk/products/08/use-1.webp,https://bysolum.co.uk/products/08/use-2.webp,https://bysolum.co.uk/products/08/detail.webp,,,,
SOLUM-RITUAL-01,SOLUM RITUAL Kit — 01 Body Wash (250ml),"Part of the SOLUM RITUAL Kit (£85). Sold as a kit only — this item cannot be purchased individually.

Gentle everywhere. Strips nothing. Cleans everything.

One wash for your whole body — including the areas most washes are too harsh for. Sensitive skin, intimate areas, face — the amino acid formula at pH 4.5 is gentle enough for all of it without stripping. Standard body wash uses SLS, a detergent that forces skin pH to 9-10 and tears through the acid mantle protecting every surface it touches. Recovery takes up to 17 hours. You shower again before it happens. This doesn't do that. It cleans every part of your body properly, leaves the barrier intact everywhere, and keeps odour-causing bacteria from taking hold. 250ml lasts around 4 weeks with daily use.

- Gentle enough for every area — face, body, sensitive skin, intimate areas — without irritation
- pH 4.5 matches your skin's natural acid mantle — the barrier stays intact everywhere
- SLS strips that barrier and takes 17 hrs to recover. Amino acid surfactants don't.
- Clinically 75x milder than SLS — cleans properly without damaging skin
- No tightness, no irritation, no odour — just clean skin, everywhere
- 250ml · lasts ~4 weeks with daily use · Sulphate-free · Cedarwood + vetiver",in stock,new,85.00 GBP,https://bysolum.co.uk,https://bysolum.co.uk/products/01/still.webp,SOLUM,Health & Beauty > Personal Care > Cosmetics > Skin Care,Health & Beauty > Personal Care,180,,,SOLUM-KIT-RITUAL,male,,,adult,,,GB::Free Delivery:0.00 GBP,1.75 kg,,,,,,body wash,sulphate-free,,https://bysolum.co.uk/products/kit/still.webp,https://bysolum.co.uk/products/kit/use-1.webp,https://bysolum.co.uk/products/kit/use-2.webp,https://bysolum.co.uk/products/01/poster.jpg,https://bysolum.co.uk/products/01/use-1.webp,https://bysolum.co.uk/products/01/use-2.webp,https://bysolum.co.uk/products/01/detail.webp,,,
SOLUM-RITUAL-02,SOLUM RITUAL Kit — 02 Italy Towel Mitt,"Part of the SOLUM RITUAL Kit (£85). Sold as a kit only — this item cannot be purchased individually.

Smoother skin. Less odour. First use.

Smoother skin and less body odour — from the first use. Dead skin cells build up on the surface and never shed on their own. That's the dullness, the rough patches, the bumps — and it's also where odour-causing bacteria live and multiply. A regular shower wets the surface. This mitt physically removes it. Korean bathhouses have used 100% viscose mitts for generations to lift this layer on warm, wet skin. You'll see it roll off the first time. When the bacteria have nothing to feed on, the smell goes with it. Lasts up to 8 weeks — replace it every 8 weeks at most.

- Dead skin cells are where odour-causing bacteria live — this removes them completely
- Visibly smoother, softer skin from the first use
- You'll see buildup roll off the mitt — weeks of accumulation, gone
- Once dead skin is cleared, lotion and products absorb properly
- 25x20cm — full coverage without slipping, sized for a male hand
- Lasts up to 8 weeks with weekly use · 100% viscose · Korean bathhouse tradition",in stock,new,85.00 GBP,https://bysolum.co.uk,https://bysolum.co.uk/products/02/still.webp,SOLUM,Health & Beauty > Personal Care > Cosmetics > Skin Care,Health & Beauty > Personal Care,180,,,SOLUM-KIT-RITUAL,male,,,adult,,,GB::Free Delivery:0.00 GBP,1.75 kg,,,,,,exfoliating mitt,body exfoliation,,https://bysolum.co.uk/products/kit/still.webp,https://bysolum.co.uk/products/kit/use-1.webp,https://bysolum.co.uk/products/kit/use-2.webp,https://bysolum.co.uk/products/02/poster.jpg,https://bysolum.co.uk/products/02/use-1.webp,https://bysolum.co.uk/products/02/use-2.webp,https://bysolum.co.uk/products/02/detail.webp,,,
SOLUM-RITUAL-03,SOLUM RITUAL Kit — 03 Back Scrub Cloth,"Part of the SOLUM RITUAL Kit (£85). Sold as a kit only — this item cannot be purchased individually.

Confident clean. Head to toe. Back included.

Properly clean from head to toe — including the back most men have never actually cleaned properly. The back has more and larger oil glands than anywhere else on the body. Bacteria build up there every single day and nothing standard reaches it. That's an ongoing odour source most men don't think to fix. The 90cm length with handles at each end changes that — drape it over your shoulder, saw back and forth, every inch done in 60 seconds. Silver ions in the fabric kill bacteria between uses. Dual-sided so you choose the intensity. Rinse after each use, wash weekly. Lasts 2-3 months.

- The back has more oil glands than anywhere — constant bacterial buildup, constant odour source
- Silver ions woven into the fabric — actively kills odour-causing bacteria between uses
- Dual-sided: one side for gentle daily cleansing, one side for firmer scrubbing
- The only tool that reaches the back properly — 90cm, handles at both ends
- Milder than the mitt — safe for daily full body use, including intimate areas
- Lasts 2-3 months · rinse after use · wash weekly",in stock,new,85.00 GBP,https://bysolum.co.uk,https://bysolum.co.uk/products/03/still.webp,SOLUM,Health & Beauty > Personal Care > Cosmetics > Skin Care,Health & Beauty > Personal Care,180,,,SOLUM-KIT-RITUAL,male,,,adult,,,GB::Free Delivery:0.00 GBP,1.75 kg,,,,,,back scrubber,body scrub,,https://bysolum.co.uk/products/kit/still.webp,https://bysolum.co.uk/products/kit/use-1.webp,https://bysolum.co.uk/products/kit/use-2.webp,https://bysolum.co.uk/products/03/use-1.webp,https://bysolum.co.uk/products/03/use-2.webp,https://bysolum.co.uk/products/03/detail.webp,,,,
